article_id,score
2,0.17704774
4,0.2579346
10,0.17655924
13,0.23063548
26,0.007989469
27,0.23383358
30,0.031217555
36,0.14436826
54,0.15734471
60,0.016422177
64,0.21464759
67,0.1519149
68,0.16005105
71,0.025184939
72,0.03603762
81,0.16112165
82,0.21409768
83,0.08474897
87,0.19655569
91,0.016785773
92,0.077741936
93,0.101404764
97,0.13009612
102,0.16198589
103,0.03041591
106,0.07596093
111,0.13843247
113,0.048545312
115,0.13399456
117,0.037850615
118,0.064263105
121,0.06747665
122,0.025113665
127,0.41645032
128,0.045420926
129,0.10541348
130,0.036740076
133,0.20666577
137,0.062675014
142,0.01581568
144,0.11796585
148,0.11395895
151,0.16940385
153,0.01063271
162,0.022296201
163,0.08925444
165,0.23492357
168,0.21830861
170,0.10112368
174,0.028149739
175,0.13991503
177,0.036806382
183,0.44711176
184,0.15708828
188,0.15509222
190,0.027567763
191,0.053932082
195,0.011561011
197,0.03457128
198,0.13286977
201,0.05006308
204,0.080416
209,0.18245961
212,0.11273534
217,0.11822688
227,0.0087938355
229,0.060107324
231,0.24025917
234,0.07691169
235,0.11803557
236,0.053117085
251,0.15709524
256,0.12277755
264,0.030554764
267,0.16853933
276,0.04275554
277,0.04841995
282,0.07809611
286,0.04360649
292,0.036534496
296,0.10543753
301,0.015027129
306,0.14317587
308,0.1497586
315,0.12447944
321,0.2464139
322,0.14329092
324,0.13930187
335,0.071835086
338,0.05354394
339,0.012454497
341,0.20953993
342,0.093763165
345,0.13259755
350,0.008437728
357,0.0326607
359,0.28466502
367,0.048949063
372,0.13054775
374,0.14718601
381,0.019899173
385,0.1589683
395,0.056642782
405,0.020235494
406,0.053636152
411,0.110074036
420,0.15841888
421,0.06856093
422,0.1274898
432,0.044705447
438,0.020302432
443,0.025991526
447,0.15910017
453,0.026313383
454,0.13278565
458,0.061982244
463,0.10113694
466,0.22271977
467,0.10296729
470,0.018777225
471,0.006592481
473,0.21378337
476,0.004848075
477,0.15589686
486,0.23150471
493,0.08832444
494,0.08218403
495,0.36447313
497,0.03241446
499,0.11915284
502,0.13987114
504,0.66811883
506,0.022391953
507,0.10128553
519,0.0606756
523,0.13146015
524,0.25060213
526,0.38238373
529,0.2499342
537,0.011615535
545,0.24996482
548,0.06659392
550,0.013520071
553,0.25314137
559,0.2093157
561,0.09821415
562,0.03969088
567,0.14840752
568,0.20587595
577,0.045965753
581,0.012147227
587,0.019387204
590,0.010628638
593,0.06657421
595,0.23520882
602,0.1875254
603,0.005863023
608,0.11124404
609,0.2129137
611,0.0670806
617,0.005670855
619,0.0027938148
621,0.1099964
623,0.27568182
625,0.22245826
627,0.23469552
628,0.035073623
629,0.3330303
633,0.2052644
634,0.24882263
635,0.07925337
640,0.0018484418
644,0.22909291
674,0.10325557
678,0.025000831
683,0.025473855
686,0.03522304
690,0.0058709355
691,0.05132868
696,0.13422441
705,0.13410763
707,0.24742238
709,0.02567711
716,0.45767492
717,0.060890317
718,0.03360039
719,0.19190794
721,0.031539656
731,0.18096602
733,0.08280117
734,0.009873952
735,0.12066099
742,0.21633366
744,0.021270966
746,0.12922543
747,0.082487464
748,0.12415995
749,0.13409714
755,0.0038503786
766,0.17127226
768,0.015436562
770,0.058702655
771,0.10895162
776,0.085542776
793,0.18833564
805,0.039580565
810,0.10234548
813,0.35126895
823,0.08016861
824,0.10868586
826,0.15632349
830,0.10074847
834,0.061647058
839,0.0587069
841,0.009727153
843,0.18912555
845,0.072258726
849,0.12153193
850,0.08929043
852,0.2889772
856,0.1027778
860,0.06627841
864,0.026052395
874,0.11725307
876,0.1937382
878,0.17003843
879,0.20186809
882,0.076232225
