article_id,score
2,0.0331981
4,0.3160031
10,0.021087943
13,0.052062754
26,0.0045925835
27,0.15808676
30,0.112242386
36,0.073015586
54,0.15895292
60,0.0017727348
64,0.4102723
67,0.12263047
68,0.05051712
71,0.011106029
72,0.0010354522
81,0.009290291
82,0.24370696
83,0.011437953
87,0.048911907
91,0.030683745
92,0.021050803
93,0.089011915
97,0.056028742
102,0.06908013
103,0.010118761
106,0.050959937
111,0.031043746
113,0.020802503
115,0.041047115
117,0.0030276724
118,0.044648416
121,0.15767035
122,0.13136825
127,0.16964999
128,0.0041323863
129,0.26276276
130,0.24575906
133,0.09570372
137,0.015540125
142,0.023491375
144,0.033340544
148,0.018085808
151,0.28694785
153,0.0033093258
162,0.018675894
163,0.0026838712
165,0.37440243
168,0.36126947
170,0.04131444
174,0.005818266
175,0.24986173
177,0.008288113
183,0.6892505
184,0.0072842967
188,0.015361432
190,0.01019625
191,0.02563522
195,0.054955725
197,0.0072193854
198,0.05525621
201,0.017386692
204,0.026097182
209,0.11700234
212,0.017460326
217,0.006038658
227,0.0008447019
229,0.02103712
231,0.15531325
234,0.038009707
235,0.056101922
236,0.053081293
251,0.02995765
256,0.068862386
264,0.014128562
267,0.053366583
276,0.1204617
277,0.12028248
282,0.030777676
286,0.05937407
292,0.12197385
296,0.0038164947
301,0.00062735815
306,0.011533328
308,0.09510188
315,0.31093466
321,0.22588712
322,0.15762539
324,0.4148713
335,0.014961866
338,0.051459707
339,0.003133936
341,0.029239833
342,0.105430655
345,0.0024815553
350,0.0070323097
357,0.05985547
359,0.42113206
367,0.008250381
372,0.030964518
374,0.15928245
381,0.0038496924
385,0.04971558
395,0.41666508
405,0.007202184
406,0.107234925
411,0.032069385
420,0.008563499
421,0.017256042
422,0.11444203
432,0.0167624
438,0.028589467
443,0.04555387
447,0.16206278
453,0.07973252
454,0.005229759
458,0.025535
463,0.022607127
466,0.06202771
467,0.47570843
470,0.011613349
471,0.0061246473
473,0.35995895
476,0.0023585474
477,0.07859022
486,0.20491017
493,0.0064259013
494,0.11903919
495,0.056229655
497,0.09528787
499,0.13764855
502,0.06739451
504,0.54087174
506,0.04400923
507,0.13212031
519,0.028215187
523,0.020054787
524,0.15048756
526,0.15028161
529,0.6333133
537,0.002860779
545,0.38996834
548,0.07892604
550,0.03277426
553,0.3350967
559,0.7789767
561,0.025181703
562,0.06105124
567,0.0050870623
568,0.098489136
577,0.034170795
581,0.002663522
587,0.0011705959
590,0.010322622
593,0.11668331
595,0.2644792
602,0.09335503
603,0.008202448
608,0.18039092
609,0.014015779
611,0.0075377426
617,0.0047536995
619,0.00940778
621,0.0034498759
623,0.68796086
625,0.06521802
627,0.7563358
628,0.017948348
629,0.31174916
633,0.6647659
634,0.19056104
635,0.047609694
640,0.0010389982
644,0.06722575
674,0.04021644
678,0.015719887
683,0.0032881654
686,0.0033282626
690,0.00053850457
691,0.018989453
696,0.05470906
705,0.032469727
707,0.31782725
709,0.0005152244
716,0.18902956
717,0.037445426
718,0.0019113609
719,0.033316907
721,0.0085139675
731,0.29596812
733,0.0633988
734,0.0021082468
735,0.025347387
742,0.15083957
744,0.004199605
746,0.076060854
747,0.13130221
748,0.34656376
749,0.015836783
755,0.0006328527
766,0.32259664
768,0.0047441525
770,0.05880546
771,0.0284477
776,0.04919401
793,0.08110203
805,0.010985953
810,0.07222225
813,0.030042537
823,0.083641
824,0.015498292
826,0.092090316
830,0.007453969
834,0.024554344
839,0.014619935
841,0.0064403997
843,0.040751576
845,0.04351634
849,0.09547672
850,0.0681263
852,0.7158031
856,0.006062491
860,0.07444111
864,0.015796278
874,0.044080716
876,0.11807884
878,0.24864477
879,0.12242411
882,0.063865244
884,0.028134545
885,0.020083345
886,0.07883738
895,0.036814712
897,0.015362997
902,0.014945106
906,0.116232365
916,0.0056083845
919,0.048930965
928,0.030279303
931,0.042170037
932,6.7750996e-05
934,0.28761613
935,0.24668111
937,0.14309801
938,0.46257606
945,0.45352623
950,0.045202535
954,0.14575191
965,0.0050542406
967,0.14410469
969,0.5032494
972,0.47227198
975,0.004871558
977,0.003483656
981,0.60816264
991,0.003693074
993,0.027250528
998,0.007134516
1001,0.13423848
1007,0.012904185
1008,0.3161849
1011,0.055540882
1014,0.5145664
1017,0.02179366
1022,0.005091674
1025,0.055743083
